ID,Name,Track_ID,Direction_Of_Traffic,Remote_Door_Opening,Left_Track_ID,Right_Track_ID,Track_Container_Type,No_Evacuation_Way_Side,Secured,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value
2040,TC_411_LCM,TR_I_411_LCM,Both,false,0,0,Open Area,None,false,0,0
2041,TC_403_MDW,TR_I_403_MDW,Both,false,0,0,Open Area,None,false,0,0
2042,TC_425_MDW,TR_I_425_MDW,Both,false,0,0,Open Area,None,false,0,0
2043,TC_429_MDW,TR_I_429_MDW,Both,false,0,0,Open Area,None,false,0,0
2044,TC_431_MDW,TR_I_431_MDW,Both,false,0,0,Open Area,None,false,0,0
2045,TC_5A_MDW_OAS,TR_5A_MDW_OAS,Both,false,0,TR_6A_MDW_OAS,Open Area,None,false,573602,1491
2046,TC_6A_MDW_OAS,TR_6A_MDW_OAS,Both,false,TR_5A_MDW_OAS,0,Open Area,None,false,574088,1761
2047,TC_441_MDW,TR_I_441_MDW,Both,false,0,0,Open Area,None,false,0,0
2048,TC_443_MDW,TR_I_443_MDW,Both,false,0,0,Open Area,None,false,0,0
2049,TC_447_MDW,TR_I_447_MDW,Both,false,0,0,Open Area,None,false,0,0
2050,TC_449_MDW,TR_I_449_MDW,Both,false,0,0,Open Area,None,false,0,0
2051,TC_451_MDW,TR_I_451_MDW,Both,false,0,0,Open Area,None,false,0,0
2052,TC_453_MDW,TR_I_453_MDW,Both,false,0,0,Open Area,None,false,0,0
2053,TC_5D_MDW_DMZ,TR_5D_MDW_DMZ,Both,false,TR_6D_MDW_DMZ,0,Open Area,None,false,27523,5
2054,TC_6D_MDW_DMZ,TR_6D_MDW_DMZ,Both,false,0,TR_5D_MDW_DMZ,Open Area,None,false,26613,38
2055,TC_5E_DMZ_GPP,TR_5E_DMZ_GPP,Both,false,TR_6E_DMZ_GPP,0,Open Area,None,false,723118,-5
2056,TC_6E_DMZ_GPP,TR_6E_DMZ_GPP,Both,false,0,TR_5E_DMZ_GPP,Open Area,None,false,722031,-6
2057,TC_611_SVT,TR_I_611_SVT,Both,false,0,0,Open Area,None,false,0,0
2058,TC_613_SVT,TR_I_613_SVT,Both,false,0,0,Open Area,None,false,0,0
2059,TC_633_BLW,TR_I_633_BLW,Both,false,0,0,Open Area,None,false,0,0
2060,TC_627_EOT_BLW,TR_S_627_EOT_BLW,Both,false,TR_2A_CS_GN,TR_1A_CS_GN,Open Area,None,false,913871,0
2061,TC_639_BLW,TR_I_639_BLW,Both,false,0,0,Open Area,None,false,0,0
2062,TC_641_BLW,TR_I_641_BLW,Both,false,0,0,Open Area,None,false,0,0
2063,TC_659_GN,TR_I_659_GN,Both,false,0,0,Open Area,None,false,0,0
2064,TC_661_GN,TR_I_661_GN,Both,false,0,0,Open Area,None,false,0,0
2065,TC_665_GN,TR_I_665_GN,Both,false,0,0,Open Area,None,false,0,0
2066,TC_667_GN,TR_I_667_GN,Both,false,0,0,Open Area,None,false,0,0
2067,TC_673_EOT_GN,TR_S_673_EOT_GN,Both,false,0,TR_2A_CS_GN,Open Area,None,false,1252432,0
2068,TC_671_EOT_GN,TR_S_671_EOT_GN,Both,false,TR_1A_CS_GN,0,Open Area,None,false,1253849,0
2069,TC_511_DMZ,TR_I_511_DMZ,Both,false,0,0,Open Area,None,false,0,0
2070,TC_513_DMZ,TR_I_513_DMZ,Both,false,0,0,Open Area,None,false,0,0
2071,TC_517_EOS_DMZ,TR_S_517_EOS_DMZ,Both,false,0,TR_S_519_EOS_DMZ,Open Area,None,false,265031,0
2072,TC_531_EOT_DMZ,TR_S_531_EOT_DMZ,Both,false,TR_6E_DMZ_GPP,TR_5E_DMZ_GPP,Open Area,None,false,287515,0
2073,TC_519_EOS_DMZ,TR_S_519_EOS_DMZ,Both,false,TR_S_517_EOS_DMZ,0,Open Area,None,false,265188,0
2074,TC_547_DMZ,TR_I_547_DMZ,Both,false,0,0,Open Area,None,false,0,0
