ID,Name,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Direction_After_Change_Of_Ends,Traffic_Direction_Self_Normalized
2107,COE_VSW_5E_LU_9_U,TR_5E_DMZ_GPP,766000,39,799178,10,Up,false
2108,COE_ZD_3A_LU_11_17_U,TR_3A_SLW_ZD,916169,0,930014,0,Up,false
2109,COE_ZD_3A_LU_11_17_D,TR_3A_SLW_ZD,916169,0,930014,0,Down,false
2112,COE_ZD_4A_RD_10_16_U,TR_4A_SLW_ZD,915391,31,930196,0,Up,false
2113,COE_ZD_4A_RD_10_16_D,TR_4A_SLW_ZD,915391,31,930196,0,Down,false
2114,COE_OAS_4A_LD_6_U,TR_4A_SLW_ZD,582241,39,601600,-75,Up,false
2115,COE_OAS_4A_LD_6_D,TR_4A_SLW_ZD,582241,39,601600,-75,Down,false
2116,COE_OAS_3A_RU_3_7_U,TR_3A_SLW_ZD,582900,103,597300,2,Up,false
2117,COE_OAS_3A_RU_3_7_D,TR_3A_SLW_ZD,582900,103,597300,2,Down,false
2118,COE_OAS_6A_LU_15_19_U,TR_6A_MDW_OAS,649299,285,665938,329,Up,false
2119,COE_OAS_6A_LU_15_19_D,TR_6A_MDW_OAS,649299,285,665938,329,Down,false
2120,COE_RAI_3A_LU_1_U,TR_3A_SLW_ZD,720450,0,826250,-35,Up,false
2121,COE_RAI_3A_LU_1_D,TR_3A_SLW_ZD,720450,0,826250,-35,Down,false
2122,COE_RAI_4A_RD_2_U,TR_4A_SLW_ZD,718747,0,824519,-13,Up,false
2123,COE_RAI_4A_RD_2_D,TR_4A_SLW_ZD,718747,0,824519,-13,Down,false
2124,COE_ZD_12_LD_111A_111B_U,TR_12_ZD_ZD,921866,1,930915,71,Up,false
2125,COE_ZD_12_LD_111A_111B_D,TR_12_ZD_ZD,921866,1,930915,71,Down,false
2127,COE_SLW_2_U,TR_2A_CS_GN,313057,0,380032,-1,Up,false
2128,COE_SLW_1_U,TR_1A_CS_GN,313107,-33,380040,-66,Up,false
2131,COE_ZD_133A_133D_D,TR_7B_ZD_ZD,999327,0,1013177,0,Down,false
2132,COE_ZD_133A_133D_U,TR_7B_ZD_ZD,999327,0,1013177,0,Up,false
2133,COE_ZD_132A_132E_D,TR_7B_ZD_ZD,982277,0,999327,0,Down,false
2134,COE_ZD_132A_132E_U,TR_7B_ZD_ZD,982277,0,999327,0,Up,false
2135,COE_ZD_141A_141E_D,TR_S_1921_ZD,981958,0,999008,0,Down,false
2136,COE_ZD_141A_141E_U,TR_S_1921_ZD,981958,0,999008,0,Up,false
2137,COE_ZD_142A_142D_D,TR_S_1921_ZD,999008,0,1012858,0,Down,false
2138,COE_ZD_142A_142D_U,TR_S_1921_ZD,999008,0,1012858,0,Up,false
2139,COE_ZD_151A_151E_D,TR_S_1799_EOT_ZD,930865,0,947353,0,Down,false
2140,COE_ZD_151A_151E_U,TR_S_1799_EOT_ZD,930865,0,947353,0,Up,false
2141,COE_ZD_152A_152D_D,TR_S_1799_EOT_ZD,947353,0,961203,0,Down,false
2142,COE_ZD_152A_152D_U,TR_S_1799_EOT_ZD,947353,0,961203,0,Up,false
2143,COE_ZD_160A_160E_D,TR_S_1915_ZD,931324,0,948374,0,Down,false
2144,COE_ZD_160A_160E_U,TR_S_1915_ZD,931324,0,948374,0,Up,false
2145,COE_ZD_161A_161D_D,TR_S_1915_ZD,948374,0,962224,0,Down,false
2146,COE_ZD_161A_161D_U,TR_S_1915_ZD,948374,0,962224,0,Up,false
2147,COE_ZD_102A_102D_D,TR_S_1831A_ZD,861309,10,876760,-1,Down,false
2148,COE_ZD_102A_102D_U,TR_S_1831A_ZD,861309,10,876760,-1,Up,false
2151,COE_ZD_154A_EOT_D,TR_S_1799_EOT_ZD,972241,0,977242,0,Down,false
2152,COE_LCM_14_121D_U,TR_S_313_EOT_LCM,487338,0,502138,0,Up,false
2153,COE_LCM_14_121D_D,TR_S_313_EOT_LCM,487338,0,502138,0,Down,false
2154,COE_LCM_123A_123D_U,TR_S_313_EOT_LCM,508883,0,523683,0,Up,false
2155,COE_LCM_123A_123D_D,TR_S_313_EOT_LCM,508883,0,523683,0,Down,false
2156,COE_LCM_132A_132D_U,TR_S_343_LCM,511901,0,525001,0,Up,false
2157,COE_LCM_132A_132D_D,TR_S_343_LCM,511901,0,525001,0,Down,false
2158,COE_LCM_134A_134D_U,TR_S_343_LCM,532141,0,545591,0,Up,false
2159,COE_LCM_134A_134D_D,TR_S_343_LCM,532141,0,545591,0,Down,false
2160,COE_LCM_135A_135D_U,TR_S_343_LCM,545591,0,559041,0,Up,false
2161,COE_LCM_135A_135D_D,TR_S_343_LCM,545591,0,559041,0,Down,false
2162,COE_LCM_141A_141D_U,TR_S_373_LCM,531371,0,545221,0,Up,false
2163,COE_LCM_141A_141D_D,TR_S_373_LCM,531371,0,545221,0,Down,false
2164,COE_LCM_142A_142D_U,TR_S_373_LCM,545221,0,559071,0,Up,false
2165,COE_LCM_142A_142D_D,TR_S_373_LCM,545221,0,559071,0,Down,false
2166,COE_LCM_150A_150D_U,TR_S_375_LCM,526147,0,539797,0,Up,false
2167,COE_LCM_150A_150D_D,TR_S_375_LCM,526147,0,539797,0,Down,false
2168,COE_LCM_151A_151D_U,TR_S_375_LCM,539797,0,552697,0,Up,false
2169,COE_LCM_151A_151D_D,TR_S_375_LCM,539797,0,552697,0,Down,false
2170,COE_LCM_152A_152D_U,TR_S_375_LCM,552697,0,566347,0,Up,false
2171,COE_LCM_152A_152D_D,TR_S_375_LCM,552697,0,566347,0,Down,false
2172,COE_LCM_161A_161D_U,TR_S_347_LCM,526147,0,539997,0,Up,false
2173,COE_LCM_161A_161D_D,TR_S_347_LCM,526147,0,539997,0,Down,false
2174,COE_LCM_162A_162D_U,TR_S_347_LCM,539997,0,552897,0,Up,false
2175,COE_LCM_162A_162D_D,TR_S_347_LCM,539997,0,552897,0,Down,false
2176,COE_LCM_163A_163D_U,TR_S_347_LCM,552897,0,566747,0,Up,false
2177,COE_LCM_163A_163D_D,TR_S_347_LCM,552897,0,566747,0,Down,false
2178,COE_LCM_113A_113D_U,TR_S_317_LCM,525475,0,540275,0,Up,false
2179,COE_LCM_113A_113D_D,TR_S_317_LCM,525475,0,540275,0,Down,false
2180,COE_LCM_115A_115D_U,TR_S_317_LCM,545089,0,559889,0,Up,false
2181,COE_LCM_115A_115D_D,TR_S_317_LCM,545089,0,559889,0,Down,false
2182,COE_LCM_180A_180D_U,TR_S_421_LCM,545114,0,559914,0,Up,false
2183,COE_LCM_180A_180D_D,TR_S_421_LCM,545114,0,559914,0,Down,false
2184,COE_LCM_26_2_190D_U,TR_S_315_EOS_SLW,482365,0,497165,0,Up,false
2185,COE_LCM_26_2_190D_D,TR_S_315_EOS_SLW,482365,0,497165,0,Down,false
2186,COE_VSW_6E_RD_10_D,TR_6E_DMZ_GPP,722031,-6,800190,-11,Down,false
2187,COE_VSW_5E_LU_9_D,TR_5E_DMZ_GPP,766000,39,799178,10,Down,false
