ID,Name,Basic_Multitrack_Zone_ID_List,Critical,Technical_Room_ID,Give_Take_Isolation_Zone_Characteristics_ID,SPKS_ID,Switch_Normal_ID_List,Switch_Reverse_ID_List,Signal_ID_List,Route_ID_List
2010,GTIZ_CT_W_32,BMZ_CT_2_32,Not Critical,TCR_WPP_M_1A_R,GTIZC_WZ,0,0,0,SI_4_U_WPP;SI_8_D_WPP,R_5_WPP_10_WPP;R_100C_WPP_10_WPP;R_5_WPP_10_WPP_C;R_100C_WPP_10_WPP_C
2011,GTIZ_CT_W_37,BMZ_CT_3_37,Not Critical,TCR_WPP_M_1A_R,GTIZC_WZ,0,0,0,0,R_10_WPP_100A_WPP;R_10_WPP_100A_WPP_C;R_10_WPP_5_WPP;R_10_WPP_5_WPP_C;R_5_WPP_10_WPP;R_5_WPP_10_WPP_C;R_11_WPP_100A_WPP;R_11_WPP_100A_WPP_C
2012,GTIZ_CT_W_40,BMZ_CT_2_40,Not Critical,TCR_WPP_M_1A_R,GTIZC_WZ,0,0,0,SI_8_U_WPP,R_5_WPP_10_WPP;R_100C_WPP_10_WPP;R_5_WPP_10_WPP_C;R_100C_WPP_10_WPP_C;R_17_WPP_10_WPP;R_16_WPP_10_WPP;R_17_WPP_10_WPP_C;R_16_WPP_10_WPP_C
2013,GTIZ_CT_W_41,BMZ_CT_1_41;BMZ_CT_1_43,Not Critical,TCR_WPP_M_1A_R,GTIZC_WZ,0,0,0,0,R_5_WPP_11_WPP;R_17_WPP_11_WPP;R_100C_WPP_11_WPP;R_16_WPP_11_WPP;R_17_WPP_11_WPP_C;R_100C_WPP_11_WPP_C;R_16_WPP_11_WPP_C
2014,GTIZ_CT_W_41_32,BMZ_CT_1_41;BMZ_CT_2_32,Not Critical,TCR_WPP_M_1A_R,GTIZC_MB,SPKS_CT_W_41_32,0,0,0,R_5_WPP_11_WPP;R_17_WPP_11_WPP;R_100C_WPP_11_WPP;R_16_WPP_11_WPP;R_17_WPP_11_WPP_C;R_100C_WPP_11_WPP_C;R_16_WPP_11_WPP_C;R_5_WPP_10_WPP;R_11_WPP_100A_WPP;R_10_WPP_100A_WPP;R_10_WPP_5_WPP;R_5_WPP_10_WPP_C;R_11_WPP_100A_WPP_C;R_10_WPP_100A_WPP_C;R_10_WPP_5_WPP_C
2015,GTIZ_CT_W_41_42,BMZ_CT_1_43;BMZ_CT_2_42,Not Critical,TCR_WPP_M_1A_R,GTIZC_MB,SPKS_CT_W_41_42,0,0,SI_12_U_WPP,R_5_WPP_11_WPP;R_17_WPP_11_WPP;R_100C_WPP_11_WPP;R_16_WPP_11_WPP;R_17_WPP_11_WPP_C;R_100C_WPP_11_WPP_C;R_16_WPP_11_WPP_C;R_17_WPP_10_WPP;R_16_WPP_10_WPP;R_17_WPP_10_WPP_C;R_16_WPP_10_WPP_C
2016,GTIZ_CT_W_42,BMZ_CT_2_42,Not Critical,TCR_WPP_M_1A_R,GTIZC_WZ,0,0,0,SI_12_U_WPP,R_17_WPP_10_WPP;R_16_WPP_10_WPP;R_17_WPP_10_WPP_C;R_16_WPP_10_WPP_C
2017,GTIZ_CT_W_51,BMZ_CT_1_45;BMZ_CT_1_47;BMZ_CT_1_51;BMZ_CT_1_53,Not Critical,TCR_WPP_M_1A_R,GTIZC_WZ,0,0,0,0,R_11_WPP_17_WPP;R_10_WPP_17_WPP;R_11_WPP_17_WPP_C;R_10_WPP_17_WPP_C;R_3_SLW_17_WPP;R_4_SLW_17_WPP;R_3_SLW_17_WPP_C;R_4_SLW_17_WPP_C
2018,GTIZ_CT_W_50,BMZ_CT_1_46;BMZ_CT_2_50;BMZ_CT_2_52,Not Critical,TCR_WPP_M_1A_R,GTIZC_WZ,0,0,0,0,R_11_WPP_16_WPP;R_10_WPP_16_WPP;R_3_SLW_16_WPP;R_4_SLW_16_WPP;R_11_WPP_16_WPP_C;R_10_WPP_16_WPP_C;R_3_SLW_16_WPP_C;R_4_SLW_16_WPP_C
2019,GTIZ_CT_W_55,BMZ_CT_1_55,Not Critical,TCR_SLW_M_1A_L,GTIZC_WZ,0,0,0,0,R_3_SLW_17_WPP;R_4_SLW_17_WPP;R_3_SLW_17_WPP_C;R_4_SLW_17_WPP_C
